1,BOH,,,
2,Dar Al Tawhid,,,
3,Single City View,306,340,B/F
4,Double City View,391.5,435,B/F
5,Triple City View,481.5,535,B/F
6,Single Haram View,391.5,435,B/F
7,Double Haram View,472.5,525,B/F
8,Low Season,,,
9,01/01/2006 to 01/05/2006,,,
10,,,,
11,Single City View,324,360,B/F
12,Double City View,414,460,B/F
13,Triple City View,504,560,B/F
14,Single Haram View,414,460,B/F
15,Double Haram View,495,550,B/F
16,Medium Season,,,
17,01/05/2006 to 01/08/2006,,,
18,,,,
19,,,,
20,Single City View,508.5,565,B/F
21,Double City View,603,670,B/F
22,Triple City View,711,790,B/F
23,Single Haram View,621,690,B/F
24,Double Haram View,697.5,775,B/F
25,High Season,,,
26,01/05/2006 to 01/08/2006,,,
27,EOH,,,
